Playing History Audit 'gaiggibeliin' from 2019/01/01 12:00 AM to 2019/01/30 11:59 PM,,,,,,,,,,,,
Transaction Details,Individual Transaction Amounts,Running Balance,,,,,,,,,,
Date/Time,Action,Table Name / Player / Tournament #,Game,Account Currency,Amount,Accrued StarsCoin,T Money,W Money,Balance,Total Accrued StarsCoin After this Transaction,T Money2,W Money3
2.1.2019 13:37,SB: Monthly SPP Counter Reset,4694559,,EUR,0,0,0,0,2.96,"2,969.97",0,0
2.1.2019 14:00,Tournament Registration,2479737975<b><font color=-x-tourn-championship>Winter Series 38 - Medium: $109 PLO [6-Max] </font> <font color=-x-tourn-guarantee>$75K Gtd</font></b>, PL Omaha Buy-In: 100.00/9.00,USD,-109,0,0,0,"2,774.04","2,969.97",0,0
2.1.2019 14:10,Tournament Re-entry,2479737975,,USD,-109,0,0,0,"2,665.04","2,969.97",0,0
2.1.2019 14:13,Tournament Re-entry,2479737975,,USD,-109,0,0,0,"2,556.04","2,969.97",0,0
2.1.2019 14:24,Tournament Registration,2479737980<b><font color=-x-tourn-championship>Winter Series 39 - Low: $55 NLHE [8-Max] </font> <font color=-x-tourn-guarantee>$200K Gtd</font></b>, NL Hold'em Buy-In: 50.00/5.00,USD,-55,0,0,0,"2,501.04","2,969.97",0,0
2.1.2019 15:22,Tournament Registration,2493721080<b><font color=-x-tourn-special>Omania $55 PLO </font> <font color=-x-tourn-guarantee> $7.5K Gtd</font></b>, PL Omaha Buy-In: 50.00/5.00,USD,-55,0,0,0,"2,446.04","2,969.97",0,0
2.1.2019 16:49,Tournament Interim Payout,2493721080,,USD,113.79,0,0,0,"2,559.83","2,969.97",0,0
2.1.2019 17:11,Tournament Interim Payout,2479737980,,USD,87.7,0,0,0,"2,647.53","2,969.97",0,0
2.1.2019 23:23,Tournament Won,2479737980<b><font color=-x-tourn-championship>Winter Series 39 - Low: $55 NLHE [8-Max] </font> <font color=-x-tourn-guarantee>$200K Gtd</font></b>, NL Hold'em Buy-In: 50.00/5.00,USD,"10,281.65",0,0,0,"12,929.18","2,969.97",0,0
3.1.2019 14:45,SB: Currency Conversion (Auto),2517805177,,EUR,47.04,0,0,0,50,"2,969.97",0,0
3.1.2019 14:45,SB: Currency Conversion (Auto),2517805177,,USD,-53.63,0,0,0,"12,875.55","2,969.97",0,0
3.1.2019 14:45,SB: Bet Placed,2517805177,,EUR,-50,0,0,0,0,"2,969.97",0,0
3.1.2019 14:46,SB: Currency Conversion (Auto),2517807125,,USD,-5.7,0,0,0,"12,869.85","2,969.97",0,0
3.1.2019 14:46,SB: Currency Conversion (Auto),2517807125,,EUR,5,0,0,0,5,"2,969.97",0,0
3.1.2019 14:46,SB: Bet Placed,2517807125,,EUR,-5,0,0,0,0,"2,969.97",0,0
3.1.2019 14:46,SB: Currency Conversion (Auto),2517807126,,USD,-5.7,0,0,0,"12,864.15","2,969.97",0,0
3.1.2019 14:46,SB: Currency Conversion (Auto),2517807126,,EUR,5,0,0,0,5,"2,969.97",0,0
3.1.2019 14:46,SB: Bet Placed,2517807126,,EUR,-5,0,0,0,0,"2,969.97",0,0
3.1.2019 14:48,Tournament Registration,2479738022<b><font color=-x-tourn-championship>Winter Series 43 - Low: $22 NLHE [8-Max  Progressive KO] </font> <font color=-x-tourn-guarantee>$175K Gtd</font></b>, NL Hold'em Buy-In: 20.00/2.00,USD,-22,0,0,0,"12,842.15","2,969.97",0,0
3.1.2019 14:51,Tournament Registration,2493727878<font color=-x-tourn-special><b>Bounty Builder $33 </font> <font color=-x-tourn-guarantee>$60K Gtd</font></b>, NL Hold'em Buy-In: 30.00/3.00,USD,-33,0,0,0,"12,809.15","2,969.97",0,0
3.1.2019 14:51,Tournament Registration,2493727838<font color=-x-tourn-special><b>Bounty Builder $109 </font> <font color=-x-tourn-guarantee>$75K Gtd</font></b>, NL Hold'em Buy-In: 100.00/9.00,USD,-109,0,0,0,"12,700.15","2,969.97",0,0
3.1.2019 14:56,Tournament Registration,2493721081<b><font color=-x-tourn-special>Omania $55 PLO </font> <font color=-x-tourn-guarantee> $7.5K Gtd</font></b>, PL Omaha Buy-In: 50.00/5.00,USD,-55,0,0,0,"12,645.15","2,969.97",0,0
3.1.2019 15:10,Tournament Re-entry,2493721081,,USD,-55,0,0,0,"12,590.15","2,969.97",0,0
3.1.2019 15:30,Tournament Registration,2481633479<b><font color=-x-tourn-championship>Winter Series 01 - Medium: $55 NLHE [Phase 1] </font> <font color=-x-tourn-guarantee>$1M Gtd</font></b>, NL Hold'em Buy-In: 50.00/5.00,USD,-55,0,0,0,"12,535.15","2,969.97",0,0
3.1.2019 15:54,Tournament Re-entry,2493721081,,USD,-55,0,0,0,"12,480.15","2,969.97",0,0
3.1.2019 16:02,Tournament prize won (Satellite),2481633479<b><font color=-x-tourn-championship>Winter Series 01 - Medium: $55 NLHE [Phase 1] </font> <font color=-x-tourn-guarantee>$1M Gtd</font></b>, NL Hold'em Buy-In: 50.00/5.00,EUR,0,0,0,0,0,"2,969.97",0,0
3.1.2019 16:02,Tournament Registration (Satellite),2479717536<b><font color=-x-tourn-championship>Winter Series 01 - Medium: $55 NLHE [Phase 2] </font> <font color=-x-tourn-guarantee>$1M Gtd</font></b>, NL Hold'em,EUR,0,0,0,0,0,"2,969.97",0,0
3.1.2019 16:56,SB: Bet Settled,2518033975,,EUR,0,0,0,0,0,"2,969.97",0,0
3.1.2019 16:56,SB: Bet Settled,2518037993,,EUR,0,0,0,0,0,"2,969.97",0,0
3.1.2019 16:56,SB: Bet Settled,2518076901,,EUR,0,0,0,0,0,"2,969.97",0,0
3.1.2019 17:02,Tournament Interim Payout,2493721081,,USD,92.04,0,0,0,"12,572.19","2,969.97",0,0
3.1.2019 17:05,Tournament Registration,2479738044<b><font color=-x-tourn-championship>Winter Series 45 - Medium: $55 NLHE [Turbo  Progressive KO] </font> <font color=-x-tourn-guarantee>$175K Gtd</font></b>, NL Hold'em Buy-In: 50.00/5.00,USD,-55,0,0,0,"12,517.19","2,969.97",0,0
